Table (0,0):
 ,1st innings,,,,,2nd innings,,,,,,,
Over,Score,Runs,Run Rate,Rate/5ov,,Score,Runs,Run Rate,Rate/5ov,Rate Req,Runs Req,Balls Rem,
1,4/0,4,4.00,-,,5/0,5,5.00,-,8.97,440,294,
2,11/0,7,5.50,-,,10/0,5,5.00,-,9.06,435,288,
3,18/0,7,6.00,-,,21/0,11,7.00,-,9.02,424,282,
4,26/0,8,6.50,-,,21/1,0,5.25,-,9.21,424,276,
5,32/0,6,6.40,6.40,,34/1,13,6.80,6.80,9.13,411,270,
6,39/1,7,6.50,7.00,,45/1,11,7.50,8.00,9.09,400,264,
7,41/1,2,5.85,6.00,,48/1,3,6.85,7.60,9.23,397,258,
8,56/1,15,7.00,7.60,,52/2,4,6.50,6.20,9.35,393,252,
9,62/1,6,6.88,7.20,,69/2,17,7.66,9.60,9.17,376,246,
10,64/1,2,6.40,6.40,,83/3,14,8.30,9.80,9.05,362,240,
11,68/1,4,6.18,5.80,,86/3,3,7.81,8.20,9.20,359,234,
12,71/1,3,5.91,6.00,,90/3,4,7.50,8.40,9.34,355,228,
13,78/1,7,6.00,4.40,,98/3,8,7.53,9.20,9.37,347,222,
14,79/1,1,5.64,3.40,,100/3,2,7.14,6.20,9.58,345,216,
15,86/1,7,5.73,4.40,,106/3,6,7.06,4.60,9.68,339,210,
16,88/1,2,5.50,4.00,,107/4,1,6.68,4.20,9.94,338,204,
17,98/1,10,5.76,5.40,,112/5,5,6.58,4.40,10.09,333,198,
18,101/1,3,5.61,4.60,,119/5,7,6.61,4.20,10.18,326,192,
19,110/1,9,5.78,6.20,,120/5,1,6.31,4.00,10.48,325,186,
20,123/1,13,6.15,7.40,,123/5,3,6.15,3.40,10.73,322,180,
21,132/1,9,6.28,8.80,,131/5,8,6.23,4.80,10.82,314,174,
22,137/1,5,6.22,7.80,,136/5,5,6.18,4.80,11.03,309,168,
23,157/1,20,6.82,11.20,,140/5,4,6.08,4.20,11.29,305,162,
24,161/1,4,6.70,10.20,,155/5,15,6.45,7.00,11.15,290,156,
25,166/1,5,6.64,8.60,,158/6,3,6.32,7.00,11.48,287,150,
26,169/1,3,6.50,7.40,,159/6,1,6.11,5.60,11.91,286,144,
27,177/1,8,6.55,8.00,,163/6,4,6.03,5.40,12.26,282,138,
28,182/1,5,6.50,5.00,,164/7,1,5.85,4.80,12.77,281,132,
29,199/1,17,6.86,7.60,,171/7,7,5.89,3.20,13.04,274,126,
30,204/1,5,6.80,7.60,,174/7,3,5.80,3.20,13.55,271,120,
31,212/1,8,6.83,8.60,,180/8,6,5.80,4.20,13.94,265,114,
32,223/1,11,6.96,9.20,,183/8,3,5.71,4.00,14.55,262,108,
33,238/1,15,7.21,11.20,,191/8,8,5.78,5.40,14.94,254,102,
34,246/1,8,7.23,9.40,,194/8,3,5.70,4.60,15.68,251,96,
35,260/1,14,7.42,11.20,,198/8,4,5.65,4.80,16.46,247,90,
36,272/1,12,7.55,12.00,,202/9,4,5.61,4.40,17.35,243,84,
37,281/2,9,7.59,11.60,,214/9,12,5.78,6.20,17.76,231,78,
38,283/3,2,7.44,9.00,,221/9,7,5.81,6.00,18.66,224,72,
39,289/3,6,7.41,8.60,,231/9,10,5.92,7.40,19.45,214,66,
40,309/3,20,7.72,9.80,,237/9,6*,6.00*,8.66*,19.80*,208,63,
41,321/3,12,7.82,9.80,,,,,,,,,
42,347/3,26,8.26,13.20,,,,,,,,,
43,352/3,5,8.18,13.80,,,,,,,,,
44,365/3,13,8.29,15.20,,,,,,,,,
45,383/3,18,8.51,14.80,,,,,,,,,
46,389/3,6,8.45,13.60,,,,,,,,,
47,405/3,16,8.61,11.60,,,,,,,,,
48,429/3,24,8.93,15.40,,,,,,,,,
49,438/3,9,8.93,14.60,,,,,,,,,
50,444/3,6,8.88,12.20,,,,,,,,,
